scenario,workload,technology,per_node_rps,aggregate_rps,repetition_count,metric_name,mean,median,stddev,min,max,ci95_low,ci95_high
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,proxy_tier_cpu_pct,3.874157705128912,3.8522666666666665,0.05419494397454395,3.8103393939393935,3.937901758641601,3.8068765821992097,3.9414388280586143
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,proxy_tier_rss_mib,618.0517452862157,618.6880473013947,6.126235288289005,612.3001272727272,627.1985999999999,610.446238954827,625.6572516176044
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,rps_per_db_connection,0.271370297965314,0.2713893596108493,0.00023256256176153474,0.2710090032731413,0.2716077438760781,0.2710815796982728,0.27165901623235517
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,successful_rps,3.527813873549081,3.528061674941041,0.003023313302899931,3.523117042550837,3.5309006703890153,3.524060536077546,3.5315672110206164
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,attempted_rps,13.96996618363978,13.976375161750667,0.04878868018012439,13.901123678424453,14.018544139418008,13.909396747673231,14.03053561960633
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,error_rate_pct,7.635277652748902,7.948487156407949,1.154209038339412,5.7745504840940525,8.92535659880903,6.202367596940678,9.068187708557126
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,error_rps,1.0697170511036536,1.1078795981539367,0.16251326913989925,0.8083338017465868,1.2537770394641798,0.867962525001639,1.2714715772056682
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,offered_rps,16.0,16.0,0.0,16.0,16.0,16.0,16.0
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,ojp_heap_committed_mib,131.6,133.0,4.219004621945797,125.0,135.0,126.36225367548217,136.8377463245178
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,ojp_heap_used_mib,80.37699999999998,80.21,2.5014435832134962,76.93,83.50999999999999,77.27154548928115,83.48245451071881
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,p95_latency_ms,4990.1558,4904.959,215.8994178852733,4808.703,5314.558999999999,4722.124241889834,5258.187358110167
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,p99_latency_ms,12851.6086,12095.487000000001,1448.7645222205026,11689.983,15114.239000000001,11053.018237742333,14650.198962257666
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,postgres_backend_connections,13.0,13.0,0.0,13.0,13.0,13.0,13.0
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,postgres_cpu_pct_avg,105.89474329065827,106.82504366812226,2.2862654851845923,102.8044656084656,108.54607538802661,103.0564248447366,108.73306173657994
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,postgres_rss_mib,5300.254671513065,5307.58557860262,63.034103771737804,5220.786443965518,5369.895068783068,5222.000041586296,5378.5093014398335
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,proxy_tier_cpu_pct,5.824907687657838,5.8231512605042015,0.03859065221770725,5.768008449004225,5.875604329524956,5.776998745875067,5.872816629440608
