label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,ojp_heap_used_mib,ojp_heap_committed_mib,ojp_heap_max_mib,ojp_heap_utilisation_percent,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
OJP O,ojp-prod-20260702-094430,ojp-prod,W5_HTAP,OJP,8.0,32.0,runInfo.targetRps_per_node,10.052881309895945,27.93817689636876,17.88529558647281,27.88300292728173,32.0,64.0171858216971,1457.663,4900.862999999999,13.0,0.7732985622996881,69.99277551020408,4969.2170408163265,6.106249999999999,662.2702584134615,900.0,82.27,130.0,,,13109.0,0.0,3971.0,1396.0,0.0,0.0,0.0,0.0,5,5
OJP P,ojp-prod-20260702-111830,ojp-prod,W5_HTAP,OJP,12.0,48.0,runInfo.targetRps_per_node,20.209615903575035,42.001465938840106,21.791850035265078,41.97815041179161,48.0,51.87841214027945,3976.191,20127.743000000002,16.5,1.2248252062772749,143.72555684454755,6335.299118329466,7.462527075812274,699.2141696750903,900.0,80.4,135.0,,,20696.0,0.0,694.0,1036.0,0.0,0.0,0.0,0.0,1,5
OJP Q,ojp-prod-20260702-125202,ojp-prod,W5_HTAP,OJP,12.0,48.0,runInfo.targetRps_per_node,4.355286926453704,41.16257151139948,36.80728458494577,41.110254596028355,48.0,89.41954275410897,163.45499999999998,1514.495,13.0,0.3350220712656696,24.163829787234047,6175.4163922294165,5.172274881516588,684.8792120853079,900.0,84.55,135.0,,,28879.0,0.0,4996.0,4807.0,0.0,0.0,0.0,0.0,2,5
OJP R,ojp-prod-20260702-142609,ojp-prod,W5_HTAP,OJP,12.0,48.0,runInfo.targetRps_per_node,18.912074796455663,42.167822483134046,23.25574768667838,42.131729467897856,48.0,55.15136097685067,5017.599,22945.790999999997,17.0,1.1124749880268037,131.47570934256055,6390.720692041522,7.174342581423402,672.4626236429432,900.0,85.705,136.0,,,21686.0,0.0,854.0,1308.0,0.0,0.0,0.0,0.0,3,5
OJP S,ojp-prod-20260702-160048,ojp-prod,W5_HTAP,OJP,12.0,48.0,runInfo.targetRps_per_node,5.51306341073435,41.53393191967015,36.0208685089358,41.214386579136104,48.0,86.72684260088657,703.999,9519.103,13.0,0.4240818008257193,47.7498160696999,5096.713397870281,6.204086853063651,692.7471029149315,900.0,81.51,133.0,,,27029.0,0.0,6060.0,4670.0,0.0,0.0,0.0,0.0,4,5
OJP T,ojp-prod-20260702-173546,ojp-prod,W5_HTAP,OJP,12.0,48.0,runInfo.targetRps_per_node,19.18022951768573,41.90162178467071,22.721392266984978,41.831988354741085,48.0,54.23098253073297,4569.0869999999995,23044.095,17.0,1.1282487951579843,140.90178654292342,6353.726774941996,7.827391826923076,683.1464903846154,900.0,77.355,128.0,,,21614.0,0.0,728.0,1127.0,0.0,0.0,0.0,0.0,5,5
pgBouncer A,pgbouncer-prod-20260701-112347,pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,runInfo.targetRps_per_node,3.531306300060249,3.531306300060249,0.0,3.531306300060249,4.0,0.0,598.7829999999999,5267.455,13.0,0.27163894615848067,21.135083798882683,8997.893808193669,0.46454161640530756,54.500386007237644,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
pgBouncer B,pgbouncer-prod-20260701-125757,pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,runInfo.targetRps_per_node,3.5309361612241803,3.5309361612241803,0.0,3.5309361612241803,4.0,0.0,1402.3670000000002,5863.423000000001,13.0,0.27161047394032156,24.120316868592734,9025.69864864865,0.46359951603145794,54.564264972776776,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
pgBouncer C,pgbouncer-prod-20260701-143034,pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,runInfo.targetRps_per_node,3.5303680175698826,3.5303680175698826,0.0,3.5303680175698826,4.0,0.0,1170.943,6371.327,13.0,0.27156677058229867,24.183826578699342,9380.461969839776,0.467487922705314,54.46009057971015,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
pgBouncer D,pgbouncer-prod-20260701-160400,pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,runInfo.targetRps_per_node,3.5311151555736755,3.5311151555736755,0.0,3.5311151555736755,4.0,0.0,952.831,6137.855,13.0,0.2716242427364366,24.838818011257036,9776.735272045029,0.4656658595641646,54.6843583535109,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
pgBouncer E,pgbouncer-prod-20260701-173708,pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,runInfo.targetRps_per_node,3.5315234349288422,3.5315234349288422,0.0,3.5315234349288422,4.0,0.0,1057.279,5851.135,13.0,0.27165564884068016,22.754225746268656,9446.305960820895,0.46824742268041236,54.58391146149181,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
pgBouncer F,pgbouncer-prod-20260701-191027,pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,runInfo.targetRps_per_node,13.927434267689556,13.938992924882886,0.011558657193332624,13.875406883888896,16.0,0.082930200414651,13643.775,21422.078999999998,14.0,0.9948167334063969,137.50072222222224,12100.70207777778,0.8965253731343285,54.73744477611939,900.0,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
pgBouncer G,pgbouncer-prod-20260701-204421,pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,runInfo.targetRps_per_node,13.923271287189351,13.935810253009691,0.012538965820339323,13.892409309543039,16.0,0.08997162433386394,13979.647,21725.183,14.0,0.9945193776563822,141.48674603174604,12106.053922902494,0.9127691387559809,54.73388755980861,900.0,,,,,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
pgBouncer H,pgbouncer-prod-20260701-221800,pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,runInfo.targetRps_per_node,13.972001462990653,13.993259436488048,0.021257973497395204,13.923648657208204,16.0,0.1519756838905775,14802.943,23126.015,16.0,0.8732500914369158,136.91395243488108,12071.561472253681,0.9276996996996997,54.53245045045045,900.0,,,,,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
pgBouncer I,pgbouncer-prod-20260701-235131,pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,runInfo.targetRps_per_node,13.924755229265232,13.943050918932341,0.01829568966711041,13.889053756185177,16.0,0.1313969571230982,11636.735,17997.823,14.0,0.9946253735189451,135.54385474860337,12037.114681564246,0.9137926902336728,54.68635710005992,900.0,,,,,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
