run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,proxy_host_cpu_aligned_peak_pct,postgres_cpu_pct_peak,postgres_cpu_pct_mean,postgres_rss_mb_peak,postgres_rss_mb_mean,bench_cpu_sum_pct,proxy_rss_mb_aligned_peak,total_cpu_pct,total_rss_mb_peak,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
ojp-prod-20260531-010333,ojp-prod,2,2,OJP,W5_HTAP,open-loop,8,True,3.796570440546245,3.796570440546245,7.034689238592211,10.831259679138455,10.810242681840059,14430,5058,9372,0.6494802494802495,SQLTransientException:8796; SQLException:343; StatusRuntimeException:233,17.015,16314.366999999998,51642.367,63455.231,279.40999999999997,404.84,291.53,265.8,147.56529914529915,25525.12,13110.187478632479,0.7516034575416497,680.21,545.9616034575416,26205.329999999998,OJP K,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-010333,summary_json_median,,,,,
ojp-prod-20260531-024349,ojp-prod,2,2,OJP,W5_HTAP,open-loop,8,True,3.9819040783512163,3.9819040783512163,6.776220202619621,10.758124280970836,10.7432052346791,14422,5338,9084,0.6298710303702676,SQLTransientException:8566; SQLException:265; StatusRuntimeException:253,16.983,16588.799,46792.703,63258.623,321.39,482.94999999999993,337.2,242.04,145.3939832285115,24948.85,13102.82853249476,0.7510389708687154,686.94,564.1810389708687,25635.789999999997,OJP L,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-024349,summary_json_median,,,,,
ojp-prod-20260531-042334,ojp-prod,2,2,OJP,W5_HTAP,open-loop,8,True,3.7562849753826866,3.7562849753826866,6.955232927538059,10.711517902920747,10.690729026443524,14430,5060,9370,0.6493416493416494,SQLTransientException:8363; StatusRuntimeException:523; SQLException:484,18.070999999999998,20111.358999999997,58114.047,63537.151,304.6,478.48,316.66,270.55,146.64935010482182,26376.77,14623.929979035638,0.7511647736830995,683.49,575.9011647736831,27060.260000000002,OJP M,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-042334,summary_json_median,,,,,
ojp-prod-20260531-060338,ojp-prod,2,2,OJP,W5_HTAP,open-loop,8,True,3.924513220023341,3.924513220023341,6.815666869598137,10.740180089621479,10.726773484793934,14420,5269,9151,0.6346047156726768,SQLTransientException:8484; SQLException:373; StatusRuntimeException:294,16.307000000000002,19455.999,45137.918999999994,61800.447,321.29999999999995,457.26,359.82,304.35,146.7948949579832,22468.6,12157.25787815126,0.8008008008008007,680.8699999999999,626.4508008008008,23149.469999999998,OJP N,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-060338,summary_json_median,,,,,
ojp-prod-20260531-074426,ojp-prod,2,2,OJP,W5_HTAP,open-loop,8,True,3.923435005530364,3.923435005530364,6.852524247672031,10.775959253202394,10.7632579175553,14419,5250,9169,0.6358970802413482,SQLTransientException:8636; SQLException:290; StatusRuntimeException:243,18.607,14397.439,48431.103,62193.663,303.07,449.96,311.78999999999996,256.88,145.75427659574467,23639.44,12397.24263829787,0.8514776172274443,685.38,560.8014776172274,24324.82,OJP O,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-074426,summary_json_median,,,,,
ojp-prod-20260531-092457,ojp-prod,2,2,OJP,W5_HTAP,open-loop,12,True,4.901410343155291,4.901410343155291,11.155392717624785,16.056803060780076,16.04194780156037,21622,6600,15022,0.6947553417815189,SQLTransientException:14026; SQLException:563; StatusRuntimeException:433,17.775,10952.703000000001,43040.767,63881.215,239.20999999999998,475.75,250.75,272.79,146.7275105485232,22691.17,12745.610654008437,0.951227116564294,681.71,512.9512271165643,23372.879999999997,OJP P,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-092457,summary_json_median,,,,,
ojp-prod-20260531-110450,ojp-prod,2,2,OJP,W5_HTAP,open-loop,12,True,3.6212125344903248,3.6212125344903248,12.488083555145908,16.10929608963623,16.098108926092888,21617,4860,16757,0.7751769440717954,SQLTransientException:13765; StatusRuntimeException:1620; SQLException:1372,12.003,8372.223,28286.975,42385.407,321.65999999999997,464.40999999999997,335.37,240.19,110.76583333333332,27654.15,17996.99755434783,0.9002501250625313,684.54,562.7502501250625,28338.690000000002,OJP Q,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-110450,summary_json_median,,,,,
ojp-prod-20260531-124444,ojp-prod,2,2,OJP,W5_HTAP,open-loop,12,True,4.669917866156057,4.669917866156057,11.375950432079664,16.04586829823572,16.033247285325974,21619,6292,15327,0.708959711365003,SQLTransientException:14241; SQLException:651; StatusRuntimeException:435,20.223,12201.983,45662.206999999995,61751.295,323.51,465.02,339.28,260.85,149.53025751072963,26022.54,13757.064184549357,0.951227116564294,686.4000000000001,585.3112271165643,26708.940000000002,OJP R,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-124444,summary_json_median,,,,,
ojp-prod-20260531-142450,ojp-prod,2,2,OJP,W5_HTAP,open-loop,12,True,4.556495706170101,4.556495706170101,11.503493451281553,16.059989157451653,16.04364991580053,21624,6135,15489,0.7162874583795783,SQLTransientException:14446; SQLException:653; StatusRuntimeException:390,21.287,15204.350999999999,54280.191,64159.743,297.28999999999996,440.26,314.43,239.87,150.38142250530788,24588.54,13921.824033970273,0.9014024044084163,691.9,538.0614024044085,25280.440000000002,OJP S,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-142450,summary_json_median,,,,,
ojp-prod-20260531-160548,ojp-prod,2,2,OJP,W5_HTAP,open-loop,12,True,4.9770667619525835,4.9770667619525835,10.978476177378347,15.955542939330929,15.942258942651215,21620,6744,14876,0.6880666049953746,SQLTransientException:13642; SQLException:716; StatusRuntimeException:518,16.843,12386.303,39337.983,60162.047,296.89,441.03,348.72999999999996,256.8,145.68508333333332,26565.74,17108.383854166666,0.951227116564294,682.98,554.6412271165643,27248.72,OJP T,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-160548,summary_json_median,,,,,
pgbouncer-prod-20260530-080057,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,1,True,1.3427775952693728,1.3427775952693728,0.0,1.3427775952693728,1.3398035585135162,1806,1806,0,0.0,,4.1240000000000006,6590.463,26558.463,42696.703,4.89,7.8100000000000005,100.66,237.79,46.04770655270655,37598.45,21558.989358974362,0.20035072666651613,56.400000000000006,242.8803507266665,37654.85,pgBouncer A,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-080057,summary_json_median,,,,,
pgbouncer-prod-20260530-093852,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,1,True,1.344052970140097,1.344052970140097,0.0,1.344052970140097,1.340334290162174,1807,1807,0,0.0,,4.052,6971.391,26927.103000000003,41828.350999999995,5.87,6.84,123.86999999999999,231.96,46.44607449856734,36378.79,20734.257378223498,0.20035072666651613,56.379999999999995,238.03035072666654,36435.17,pgBouncer B,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-093852,summary_json_median,,,,,
pgbouncer-prod-20260530-111641,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,1,True,1.3426749289193642,1.3426749289193642,0.0,1.3426749289193642,1.3397011195529869,1806,1806,0,0.0,,4.144,7014.398999999999,28549.119,42778.623,2.94,7.8100000000000005,115.92000000000002,229.44,46.06490056818182,35591.03,19737.805085227275,0.2501250625312656,56.47,232.63012506253125,35647.5,pgBouncer C,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-111641,summary_json_median,,,,,
pgbouncer-prod-20260530-125446,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,1,True,1.344583066403097,1.344583066403097,0.0,1.344583066403097,1.3408629718080536,1807,1807,0,0.0,,4.269,8331.262999999999,27918.335,40828.926999999996,3.91,5.859999999999999,104.91,247.01,46.8663976945245,38918.25,21778.428141210377,0.20025032543810709,56.260000000000005,251.1202503254381,38974.51,pgBouncer D,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-125446,summary_json_median,,,,,
pgbouncer-prod-20260530-143241,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,1,True,1.344631013094796,1.344631013094796,0.0,1.344631013094796,1.3409106422894281,1807,1807,0,0.0,,4.287000000000001,7507.967000000001,27934.719,41009.151,5.87,6.84,159.43999999999997,252.13,47.81757532281206,37074.39,20916.587661406025,0.20020025035051325,56.41,258.2002002503505,37130.8,pgBouncer E,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-143241,summary_json_median,,,,,
pgbouncer-prod-20260530-161135,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,4,True,2.356437585714569,2.356437585714569,3.062704633872528,5.419142219587097,5.315084041722878,7343,3193,4150,0.5651641018657224,SQLTransientConnectionException:4150,26468.351000000002,60030.975,60030.975,65339.391,5.84,10.74,101.47,236.86,161.7644565217391,49660.88,36337.45486956522,0.2502502502502503,56.27000000000001,242.95025025025026,49717.149999999994,pgBouncer F,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-161135,summary_json_median,,,,,
