label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
pgBouncer F,pgbouncer-prod-20260530-161135,pgbouncer-prod,W5_HTAP,PgBouncer,2.0,4.0,runInfo.targetRps_aggregate,2.356437585714569,5.419142219587097,3.062704633872528,5.315084041722878,4.0,56.516410186572244,60030.975,60030.975,23.0,0.10245380807454647,161.7644565217391,36337.45486956522,0.3075498241500586,54.712989449003516,900.0,0.0,4150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
pgBouncer G,pgbouncer-prod-20260530-175057,pgbouncer-prod,W5_HTAP,PgBouncer,2.0,4.0,runInfo.targetRps_aggregate,2.1970285134006193,5.477442266193953,3.2804137527933332,5.3150820804539,4.0,59.88951765022905,60030.975,60030.975,23.0,0.09552297884350519,161.77191721132897,38109.04015250545,0.30133608004708645,54.629311359623294,900.0,0.0,4445.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
pgBouncer H,pgbouncer-prod-20260530-193028,pgbouncer-prod,W5_HTAP,PgBouncer,2.0,4.0,runInfo.targetRps_aggregate,2.574148974175287,5.492944331733129,2.9187953575578414,5.315086002994752,4.0,53.13717586994492,60030.975,60030.975,23.0,0.11191952061631684,161.43280777537794,37285.4188336933,0.325473808122425,54.99311359623307,900.0,0.0,3955.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
pgBouncer I,pgbouncer-prod-20260530-211006,pgbouncer-prod,W5_HTAP,PgBouncer,2.0,4.0,runInfo.targetRps_aggregate,2.275995465367242,5.489252310685941,3.2132568453187,5.315084041722878,4.0,58.53724119386931,60030.975,60030.975,23.0,0.09895632458118443,162.58274336283185,37811.64373893805,0.30983587338804225,54.72548065650644,900.0,0.0,4354.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
pgBouncer J,pgbouncer-prod-20260530-225008,pgbouncer-prod,W5_HTAP,PgBouncer,2.0,4.0,runInfo.targetRps_aggregate,2.2863257795278127,5.474488242729134,3.1881624632013215,5.315080119187816,4.0,58.23672148827177,60030.975,60030.975,23.0,0.09940546867512229,162.50008771929825,39491.76524122807,0.3106206088992974,54.95792154566744,900.0,0.0,4320.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
pgBouncer K,pgbouncer-prod-20260531-003012,pgbouncer-prod,W5_HTAP,PgBouncer,4.0,8.0,runInfo.targetRps_aggregate,2.386693950992,10.994732520374557,8.608038569382558,10.627946236932104,8.0,78.29238824003222,60030.975,60030.975,23.0,0.10376930221704347,177.1450900900901,39428.41452702703,0.30156359393232196,55.00672695449242,900.0,0.0,11664.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
pgBouncer L,pgbouncer-prod-20260531-021001,pgbouncer-prod,W5_HTAP,PgBouncer,4.0,8.0,runInfo.targetRps_aggregate,2.278207884616227,10.99547052121883,8.717262636602602,10.628684237231731,8.0,79.28048862339753,60030.975,60030.975,23.0,0.09905251672244465,172.67789115646258,38603.29530612245,0.28143106457242584,54.776945898778365,900.0,0.0,11812.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
pgBouncer M,pgbouncer-prod-20260531-035013,pgbouncer-prod,W5_HTAP,PgBouncer,4.0,8.0,runInfo.targetRps_aggregate,2.3866937669020425,10.993994521164218,8.607300754262177,10.628684237231731,8.0,78.29093105994495,60030.975,60030.975,23.0,0.10376929421313229,172.76448430493272,38388.64257847534,0.2974344023323615,54.99648979591837,900.0,0.0,11663.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
pgBouncer N,pgbouncer-prod-20260531-053010,pgbouncer-prod,W5_HTAP,PgBouncer,4.0,8.0,runInfo.targetRps_aggregate,2.456065932864907,10.983662503365267,8.52759657050036,10.62868423724331,8.0,77.63891688503662,60030.975,60030.975,23.0,0.10678547534195247,173.9345890410959,40924.83347031963,0.2901394538059268,54.62148169668796,900.0,0.0,11555.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
pgBouncer O,pgbouncer-prod-20260531-071044,pgbouncer-prod,W5_HTAP,PgBouncer,4.0,8.0,runInfo.targetRps_aggregate,2.568242938069921,10.983666565314552,8.41542362724463,10.628688159219255,8.0,76.61761741584357,60030.975,60030.975,23.0,0.11166273643782265,168.61361990950226,38059.63022624435,0.29721900347624564,54.6647276940904,900.0,0.0,11403.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
pgBouncer P,pgbouncer-prod-20260531-085132,pgbouncer-prod,W5_HTAP,PgBouncer,6.0,12.0,runInfo.targetRps_aggregate,1.8420445040160731,16.48615219851917,14.644107694503099,15.942247176451836,12.0,88.82671560947223,60030.975,60030.975,23.0,0.0800888914789597,173.54494382022472,40676.760988764036,0.2841155866900175,54.83601284296556,900.0,0.0,19843.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
pgBouncer Q,pgbouncer-prod-20260531-103129,pgbouncer-prod,W5_HTAP,PgBouncer,6.0,12.0,runInfo.targetRps_aggregate,2.104038092282763,16.483968611543016,14.379930519260252,15.942276589866406,12.0,87.23585243553008,60030.975,60030.975,23.0,0.0914799170557723,174.57750566893424,40294.34623582766,0.2768006993006993,55.08348484848484,900.0,0.0,19485.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
pgBouncer R,pgbouncer-prod-20260531-121130,pgbouncer-prod,W5_HTAP,PgBouncer,6.0,12.0,runInfo.targetRps_aggregate,2.264920903839022,16.48690844545652,14.221987541617498,15.942264824526625,12.0,86.2623097582811,60030.975,60030.975,23.0,0.09847482190604442,176.17537414965986,39015.99643990929,0.3050320326150262,54.810401863715796,900.0,0.0,19271.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
pgBouncer S,pgbouncer-prod-20260531-135123,pgbouncer-prod,W5_HTAP,PgBouncer,6.0,12.0,runInfo.targetRps_aggregate,2.1497964593671495,16.486938861058057,14.337142401690908,15.942294237984608,12.0,86.96060877350045,60030.975,60030.975,23.0,0.09346941127683259,171.52545454545455,40247.687613636364,0.28223126089482853,54.973846600813474,900.0,0.0,19427.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
pgBouncer T,pgbouncer-prod-20260531-153153,pgbouncer-prod,W5_HTAP,PgBouncer,6.0,12.0,runInfo.targetRps_aggregate,2.531341919310825,16.486932772491304,13.955590853180478,15.942288355293012,12.0,84.64637421665174,60030.975,60030.975,23.0,0.11005834431786196,175.44815489749428,40343.45601366742,0.2966647465437788,54.74784562211981,900.0,0.0,18910.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
