run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,proxy_host_cpu_aligned_peak_pct,postgres_cpu_pct_peak,postgres_cpu_pct_mean,postgres_rss_mb_peak,postgres_rss_mb_mean,bench_cpu_sum_pct,proxy_rss_mb_aligned_peak,total_cpu_pct,total_cpu_mean_pct,total_cpu_p95_pct,total_rss_mb_peak,total_rss_mb_mean,total_rss_mb_p95,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
ojp-prod-20260702-033001,ojp-prod,4,4,OJP,W5_HTAP,open-loop,8,True,7.2959297806953,7.2959297806953,21.036506590604475,28.332436371299778,27.826796363307487,29327,7546,21781,0.7426944453916187,SQLTransientException:14473; StatusRuntimeException:5335; SQLException:1973,8.363,1619.967,7268.351000000001,112328.70300000001,319.05,453.35,330.20000000000005,333.02,58.82035538005923,10126.47,5025.764758144126,1.2027064662424518,675.62,653.2727064662424,66.16501408510766,266.25970646624245,10802.09,5668.602871576962,8724.752,OJP K,/home/rogerio/Projects/stressum/results/ojp-prod-20260702-033001,summary_json_median,,,,,
ojp-prod-20260702-050342,ojp-prod,4,4,OJP,W5_HTAP,open-loop,8,True,17.092190978977744,17.092190978977744,10.8954362977444,27.98762727672214,27.969174830840053,28823,17603,11220,0.3892724560247025,SQLTransientException:10540; SQLException:348; StatusRuntimeException:331,6.510999999999999,4306.942999999999,19005.439,33529.854999999996,313.17,470.15,358.82000000000005,381.51,133.29714606741572,10677.86,6111.3638089887645,1.677731619247524,683.22,696.3577316192475,141.79461849437877,320.97023161924744,11361.08,6763.03893255718,9678.197,OJP L,/home/rogerio/Projects/stressum/results/ojp-prod-20260702-050342,summary_json_median,,,,,
ojp-prod-20260702-063723,ojp-prod,4,4,OJP,W5_HTAP,open-loop,8,True,16.70527889467926,16.70527889467926,11.31057599553932,28.015854890218577,28.00613104539688,28814,17181,11633,0.4037273547581037,SQLTransientException:10900; StatusRuntimeException:387; SQLException:346,6.3629999999999995,5031.9349999999995,20094.975,33497.087,211.04,472.11,217.52,347.22,135.95662485746863,10523.21,6021.092930444698,1.6546904686330666,686.44,559.9146904686331,144.50068355714865,309.8706904686331,11209.65,6676.799440673338,9707.483999999999,OJP M,/home/rogerio/Projects/stressum/results/ojp-prod-20260702-063723,summary_json_median,,,,,
ojp-prod-20260702-081055,ojp-prod,4,4,OJP,W5_HTAP,open-loop,8,True,17.31127632109103,17.31127632109103,10.777220426424774,28.088496747515805,28.01364867358364,28881,17802,11079,0.38360860081022125,SQLTransientException:9797; StatusRuntimeException:765; SQLException:517,6.151,4984.831,21889.023,33964.031,249.26,378.28,294.15,345.01,134.5306575963719,10230.93,6111.69231292517,1.7551925265883952,675.05,596.0251925265884,143.05121480047686,321.74669252658833,10905.98,6755.448009127702,9587.794,OJP N,/home/rogerio/Projects/stressum/results/ojp-prod-20260702-081055,summary_json_median,,,,,
ojp-prod-20260702-094430,ojp-prod,4,4,OJP,W5_HTAP,open-loop,8,True,10.052881309895945,10.052881309895945,17.88529558647281,27.93817689636876,27.88300292728173,28861,10385,18476,0.640171858216971,SQLTransientException:13109; StatusRuntimeException:3971; SQLException:1396,6.359,1457.663,4900.862999999999,8552.447,329.0,427.0,348.69,332.31,69.99277551020408,9680.83,4969.2170408163265,1.5018774407858033,691.47,662.8118774407858,77.60090295098989,276.41687744078575,10372.3,5631.487299229788,8168.344999999999,OJP O,/home/rogerio/Projects/stressum/results/ojp-prod-20260702-094430,summary_json_median,,,,,
ojp-prod-20260702-111830,ojp-prod,4,4,OJP,W5_HTAP,open-loop,12,True,20.209615903575035,20.209615903575035,21.791850035265078,42.001465938840106,41.97815041179161,43228,20802,22426,0.5187841214027945,SQLTransientException:20696; SQLException:1036; StatusRuntimeException:694,6.973000000000001,3976.191,20127.743000000002,37437.439,273.61,418.15,283.02000000000004,350.11,143.72555684454755,10226.41,6335.299118329466,1.9543256503238617,740.34,625.6743256503239,153.14240957068367,329.19182565032384,10966.75,7034.513288004557,9769.289999999999,OJP P,/home/rogerio/Projects/stressum/results/ojp-prod-20260702-111830,summary_json_median,,,,,
ojp-prod-20260702-125202,ojp-prod,4,4,OJP,W5_HTAP,open-loop,12,True,4.355286926453704,4.355286926453704,36.80728458494577,41.16257151139948,41.110254596028355,43259,4577,38682,0.8941954275410897,SQLTransientException:28879; StatusRuntimeException:4996; SQLException:4807,8.213000000000001,163.45499999999998,1514.495,25599.999,280.31,485.51,292.90999999999997,345.72,24.163829787234047,10049.28,6175.4163922294165,1.3528560881160818,718.6800000000001,627.3828560881161,30.688960756866717,163.31935608811608,10767.960000000001,6860.295604314724,8227.9565,OJP Q,/home/rogerio/Projects/stressum/results/ojp-prod-20260702-125202,summary_json_median,,,,,
ojp-prod-20260702-142609,ojp-prod,4,4,OJP,W5_HTAP,open-loop,12,True,18.912074796455663,18.912074796455663,23.25574768667838,42.167822483134046,42.131729467897856,43241,19393,23848,0.5515136097685067,SQLTransientException:21686; SQLException:1308; StatusRuntimeException:854,7.5489999999999995,5017.599,22945.790999999997,38109.183,267.45000000000005,370.65,304.85,336.93,131.47570934256055,10819.14,6390.720692041522,1.9544871486066415,707.37,606.3344871486067,140.60453907259057,317.9024871486066,11526.51,7063.183315684465,9684.675000000001,OJP R,/home/rogerio/Projects/stressum/results/ojp-prod-20260702-142609,summary_json_median,,,,,
ojp-prod-20260702-160048,ojp-prod,4,4,OJP,W5_HTAP,open-loop,12,True,5.51306341073435,5.51306341073435,36.0208685089358,41.53393191967015,41.214386579136104,43539,5779,37760,0.8672684260088657,SQLTransientException:27029; StatusRuntimeException:6060; SQLException:4670,8.335,703.999,9519.103,45465.599,272.81,377.22,284.04999999999995,333.97,47.7498160696999,10994.58,5096.713397870281,1.4022787688546847,728.76,608.1822787688548,55.35618169161823,230.26227876885466,11723.34,5789.460500785213,8833.496,OJP S,/home/rogerio/Projects/stressum/results/ojp-prod-20260702-160048,summary_json_median,,,,,
ojp-prod-20260702-173546,ojp-prod,4,4,OJP,W5_HTAP,open-loop,12,True,19.18022951768573,19.18022951768573,22.721392266984978,41.90162178467071,41.831988354741085,43276,19807,23469,0.5423098253073297,SQLTransientException:21614; SQLException:1127; StatusRuntimeException:728,7.792999999999999,4569.0869999999995,23044.095,34701.311,322.83,457.34,337.72,334.27,140.90178654292342,10951.81,6353.726774941996,2.1034058856574194,723.81,659.2034058856574,150.83258425550392,317.0579058856571,11675.619999999999,7036.8732653266115,9785.461,OJP T,/home/rogerio/Projects/stressum/results/ojp-prod-20260702-173546,summary_json_median,,,,,
